round,event_id,startTimestamp,homeTeam_name,homeTeam_id,awayTeam_name,awayTeam_id,homeScore,awayScore,status_type,status_desc,winnerCode
1,14572760,1758732300,FC Midtjylland,1289,SK Sturm Graz,2051,2,0,finished,Ended,1
1,14572714,1758732300,PAOK,3251,Maccabi Tel Aviv,5198,0,0,finished,Ended,3
1,14572707,1758740400,FK Crvena zvezda,5149,Celtic,2352,1,1,finished,Ended,3
1,14572652,1758740400,GNK Dinamo Zagreb,2032,Fenerbahçe,3052,3,1,finished,Ended,1
1,14572805,1758740400,Malmö FF,1892,Ludogorets,43840,1,2,finished,Ended,2
1,14572781,1758740400,Nice,1661,Roma,2702,1,2,finished,Ended,2
1,14572657,1758740400,Real Betis,2816,Nottingham Forest,14,2,2,finished,Ended,3
1,14572770,1758740400,SC Freiburg,2538,Basel,2501,2,1,finished,Ended,1
1,14572697,1758740400,Sporting Braga,2999,Feyenoord,2959,1,0,finished,Ended,1
1,14572813,1758818700,Go Ahead Eagles,2979,FCSB,3301,0,1,finished,Ended,2
1,14572650,1758818700,Lille,1643,SK Brann,1159,2,1,finished,Ended,1
1,14572679,1758826800,Aston Villa,40,Bologna,2685,1,0,finished,Ended,1
1,14572756,1758826800,BSC Young Boys,2445,Panathinaikos FC,3248,1,4,finished,Ended,2
1,14572817,1758826800,FC Utrecht,2948,Olympique Lyonnais,1649,0,1,finished,Ended,2
1,14572734,1758826800,Ferencváros TC,1925,FC Viktoria Plzeň,4502,1,1,finished,Ended,3
1,14572641,1758826800,Rangers,2351,KRC Genk,2890,0,1,finished,Ended,2
1,14572659,1758826800,Red Bull Salzburg,2046,FC Porto,3002,0,1,finished,Ended,2
1,14572802,1758826800,VfB Stuttgart,2677,Celta Vigo,2821,2,1,finished,Ended,1
2,14572797,1759423500,Bologna,2685,SC Freiburg,2538,1,1,finished,Ended,3
2,14572729,1759423500,Celtic,2352,Sporting Braga,2999,0,2,finished,Ended,2
2,14572727,1759423500,FC Viktoria Plzeň,4502,Malmö FF,1892,3,0,finished,Ended,1
2,14572779,1759423500,FCSB,3301,BSC Young Boys,2445,0,2,finished,Ended,2
