name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,penaltyConceded,fouls,firstName,lastName,aerialWon,shotOffTarget,outfielderBlock,wasFouled,expectedGoals,aerialLost,onTargetScoringAttempt,expectedGoalsOnTarget,bigChanceCreated,errorLeadToAShot,keyPass,accurateCross,blockedScoringAttempt,bigChanceMissed,totalOffside,goals,penaltyWon
Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7041,M,guglielmovicario,553606,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,844646400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكاريو غولييلمو', 'hi': 'गुग्लिल्मो विकारियो', 'bn': 'উইলিয়াম দ্য ভিকারিও'}, 'shortNameTranslation': {'ar': 'ف. غولييلمو', 'hi': 'जी. विकारियो', 'bn': 'জি. ভিকারিও'}}",36.0,35.0,2.0,1.0,0.0,35.0,35.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,90.0,44.0,7.2,1.0,7.8e-05,"{'original': 7.2, 'alternative': 6.9}",0,0.7192,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Porro,pedro-porro,P. Porro,D,23,173,11089,M,pedroporro29,913654,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,937180800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو بورو', 'hi': 'पेड्रो पोरो', 'bn': 'পেড্রো পোরো'}, 'shortNameTranslation': {'ar': 'ب. بورو', 'hi': 'पी. पोरो', 'bn': 'পি. পোরো'}}",63.0,50.0,6.0,3.0,0.0,24.0,31.0,34.0,3.0,7.0,,,,,,90.0,90.0,5.9,22.0,0.0150101,"{'original': 5.9, 'alternative': 5.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,26.0,2.0,8.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,
Cristian Romero,cristian-romero,C. Romero,D,17,185,37279,M,cutiromero2,829932,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,893635200,"{'value': 56000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان روميرو', 'hi': 'क्रिस्टियन रोमेरो', 'bn': 'ক্রিশ্চিয়ান রোমেরো'}, 'shortNameTranslation': {'ar': 'ك. روميرو', 'hi': 'सी. रोमेरो', 'bn': 'সি. রোমেরো'}}",52.0,48.0,,,0.0,38.0,40.0,12.0,3.0,4.0,,,,,,90.0,67.0,6.9,5.0,0.00450922,"{'original': 6.9, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,10.0,,4.0,7.0,1.0,,,,3.0,4.0,2.0,1.0,,3.0,,,2.0,1.0,1.0,1.0,0.0609,,,,,,,,,,,,
Radu Drăguşin,radu-dragusin,R. Drăguşin,D,3,191,13267,M,radudragusin5,997103,"{'alpha2': 'RO', 'alpha3': 'ROU', 'name': 'Romania', 'slug': 'romania'}",EUR,1012694400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رادو دراجوشين', 'hi': 'राडू द्रागुसिन', 'bn': 'রাদু ড্রাগুশিন'}, 'shortNameTranslation': {'ar': 'ر. دراجوشين', 'hi': 'आर. द्रागुसिन', 'bn': 'আর. ড্রাগুসিন'}}",77.0,67.0,4.0,2.0,0.0,57.0,64.0,13.0,,6.0,,,,,,90.0,88.0,6.7,12.0,0.00366418,"{'original': 6.7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,10.0,,2.0,7.0,,,1.0,,2.0,4.0,2.0,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,
Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,11821,M,mickyvdven,998247,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,987638400,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميكي فان دي فين', 'hi': 'मिकी वैन डे वेन', 'bn': 'মিকি ভ্যান ডি ভেন'}, 'shortNameTranslation': {'ar': 'م. فان دي فين', 'hi': 'एम. वैन डे वेन', 'bn': 'এম. ভ্যান ডি ভেন'}}",53.0,46.0,2.0,1.0,0.0,32.0,36.0,17.0,1.0,4.0,,,,,,90.0,69.0,6.4,12.0,0.00406797,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,14.0,,4.0,4.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,2.0,,,,,2.0,,,,,,,,,,,
Rodrigo Bentancur,bentancur-rodrigo,R. Bentancur,M,30,187,8373,M,rodrigo_bentancur,791190,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,867196800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو بينتانكور', 'hi': 'बेनटानकुर, रोड्रिगो', 'bn': 'বেন্টানকুর, রদ্রিগো'}, 'shortNameTranslation': {'ar': 'ر. بينتانكور', 'hi': 'आर. बेनटानकुर', 'bn': 'আর. বেন্টানকুর'}}",41.0,37.0,1.0,1.0,0.0,24.0,26.0,16.0,,4.0,,,,,,55.0,51.0,6.5,9.0,0.0294243,"{'original': 6.5, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,13.0,1.0,8.0,2.0,,4.0,2.0,2.0,1.0,,,,,4.0,,,,,,,0.1284,,1.0,0.1031,,,,,,,,,
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,8,185,4466,M,hojbjerg23,149593,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,807580800,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيير إيميل هويبيرج', 'hi': 'पियरे-एमिले होजबर्ज', 'bn': 'পিয়েরে-এমিল হজবজের্গ'}, 'shortNameTranslation': {'ar': 'ب. هويبيرج', 'hi': 'पी. होजबर्ज', 'bn': 'পি. হজবজের্গ'}}",91.0,78.0,9.0,6.0,0.0,41.0,47.0,45.0,2.0,6.0,,,,,,85.0,104.0,6.7,18.0,0.0371479,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,37.0,1.0,5.0,4.0,2.0,1.0,1.0,,,4.0,2.0,2.0,,,,,,,,,,1.0,,,1.0,2.0,1.0,,,,,,
James Maddison,james-maddison,J. Maddison,M,10,175,16399,M,Madders,356398,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848707200,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ماديسون', 'hi': 'जेम्स मैडिसन', 'bn': 'জেমস ম্যাডিসন'}, 'shortNameTranslation': {'ar': 'ج. ماديسون', 'hi': 'जे. मैडिसन', 'bn': 'জে. ম্যাডিসন'}}",58.0,52.0,1.0,,0.0,19.0,20.0,42.0,,3.0,,,,,,89.0,76.0,7.5,11.0,0.0874463,"{'original': 7.5, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,34.0,4.0,1.0,7.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,4.0,,,,,,,4.0,1.0,,,,,
Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,33248,M,pape,1002711,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,1031961600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابي مطر سار', 'hi': 'पापे मटर सर्र', 'bn': 'পোপ মাতার সরর'}, 'shortNameTranslation': {'ar': 'ب. م. سار', 'hi': 'पीएम मटर', 'bn': 'পি. এম. সর'}}",54.0,52.0,1.0,1.0,0.0,31.0,31.0,23.0,,5.0,,,,,,85.0,62.0,6.8,3.0,0.0687172,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,21.0,,4.0,4.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,2.0,0.0516,1.0,,,,,,,1.0,,,,
Brennan Johnson,brennan-johnson,B. Johnson,F,22,186,9634,M,brenjohnson_,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",31.0,24.0,,,0.0,6.0,8.0,25.0,,,,,,,,90.0,40.0,7.6,9.0,0.217523,"{'original': 7.6, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,19.0,2.0,,4.0,,,1.0,1.0,,2.0,1.0,1.0,,,,,,,,1.0,,,,,2.0,,3.0,1.0,,,,,
