name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,accurateCross,aerialWon,duelLost,totalContest,wonContest,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,firstName,lastName,challengeLost,unsuccessfulTouch,dispossessed,aerialLost,goals,bigChanceMissed,outfielderBlock,hitWoodwork,errorLeadToAShot,penaltyWon,totalOffside,errorLeadToAGoal,penaltyConceded,penaltyFaced,clearanceOffLine
Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7041,M,guglielmovicario,553606,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,844646400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكاريو غولييلمو', 'hi': 'गुग्लिल्मो विकारियो', 'bn': 'উইলিয়াম দ্য ভিকারিও'}, 'shortNameTranslation': {'ar': 'ف. غولييلمو', 'hi': 'जी. विकारियो', 'bn': 'জি. ভিকারিও'}}",29.0,23.0,13.0,7.0,22.0,25.0,1.0,4.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,90.0,41.0,7.0,6.0,0.00029562,"{'original': 7, 'alternative': 6.8}",0,0.0459,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Porro,pedro-porro,P. Porro,D,23,173,11089,M,pedroporro29,913654,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,937180800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو بورو', 'hi': 'पेड्रो पोरो', 'bn': 'পেড্রো পোরো'}, 'shortNameTranslation': {'ar': 'ب. بورو', 'hi': 'पी. पोरो', 'bn': 'পি. পোরো'}}",48.0,37.0,6.0,3.0,13.0,16.0,27.0,41.0,5.0,1.0,4.0,1.0,,,,90.0,81.0,8.5,18.0,0.39209,"{'original': 8.5, 'alternative': 8.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,9.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.1001,0.1472,3.0,,,,,,,,,,,,,,,,,
Cristian Romero,cristian-romero,C. Romero,D,17,185,37279,M,cutiromero2,829932,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,893635200,"{'value': 56000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان روميرو', 'hi': 'क्रिस्टियन रोमेरो', 'bn': 'ক্রিশ্চিয়ান রোমেরো'}, 'shortNameTranslation': {'ar': 'ك. روميرو', 'hi': 'सी. रोमेरो', 'bn': 'সি. রোমেরো'}}",50.0,44.0,3.0,2.0,23.0,25.0,21.0,25.0,10.0,1.0,3.0,1.0,,,,90.0,64.0,7.3,7.0,0.0227252,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,3.0,4.0,1.0,1.0,,,1.0,,,5.0,3.0,3.0,0.034,,,,,1.0,1.0,,,,,,,,,,,,,
Ben Davies,ben-davies,B. Davies,D,33,181,2694,M,,94758,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,735609600,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بين ديفيز', 'hi': 'बेन डेविस', 'bn': 'বেন ডেভিস'}, 'shortNameTranslation': {'ar': 'ب. ديفيز', 'hi': 'बी. डेविस', 'bn': 'বি. ডেভিস'}}",66.0,57.0,8.0,6.0,39.0,43.0,18.0,23.0,6.0,4.0,6.0,1.0,,,,90.0,78.0,7.3,10.0,0.109899,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,4.0,1.0,,,,1.0,,,1.0,1.0,1.0,,0.021,,,,,,,1.0,,,,,,,,,,,,
Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5987,M,udogiethree,983572,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1038441600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديستيني أودوجي', 'hi': 'डेस्टिनी उडोगी', 'bn': 'ডেসটিনি উদোগি'}, 'shortNameTranslation': {'ar': 'د. أودوجي', 'hi': 'डी. उडोगी', 'bn': 'ডি. উদোগি'}}",45.0,41.0,,,18.0,21.0,23.0,25.0,4.0,2.0,8.0,1.0,,,,90.0,64.0,7.8,10.0,0.0362237,"{'original': 7.8, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,1.0,2.0,1.0,,,,1.0,,1.0,2.0,2.0,,0.8985,0.9113,2.0,,,,3.0,,1.0,1.0,,,,,,,,,,
Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,33248,M,pape,1002711,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,1031961600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابي مطر سار', 'hi': 'पापे मटर सर्र', 'bn': 'পোপ মাতার সরর'}, 'shortNameTranslation': {'ar': 'ب. م. سار', 'hi': 'पीएम मटर', 'bn': 'পি. এম. সর'}}",46.0,40.0,2.0,,12.0,14.0,28.0,35.0,7.0,,7.0,,,,,73.0,63.0,7.0,11.0,0.0253519,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,,2.0,5.0,1.0,1.0,,1.0,,,1.0,4.0,3.0,1.0,0.2131,,2.0,,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,
Yves Bissouma,yves-bissouma,Y. Bissouma,M,8,181,14766,M,YB8,844842,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,841363200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيف بيسوما', 'hi': 'यवेस बिसौमा', 'bn': 'ইয়েভেস বিসুমা'}, 'shortNameTranslation': {'ar': 'إ. بيسوما', 'hi': 'वाई. बिसौमा', 'bn': 'ওয়াই. বিসুমা'}}",74.0,64.0,1.0,,27.0,30.0,37.0,44.0,10.0,1.0,2.0,1.0,,,,86.0,92.0,7.7,12.0,0.0201212,"{'original': 7.7, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,4.0,1.0,1.0,,,1.0,,1.0,8.0,6.0,,0.035,0.162,,,,2.0,,2.0,,,,1.0,,,,,,,,
Brennan Johnson,brennan-johnson,B. Johnson,F,22,186,9634,M,brenjohnson_,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",22.0,17.0,,,3.0,5.0,15.0,21.0,6.0,1.0,3.0,,,,,86.0,43.0,7.6,12.0,0.164187,"{'original': 7.6, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,,,1.0,1.0,,1.0,0.1539,,3.0,,,1.0,1.0,2.0,,,,,2.0,1.0,,,,,,
Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,12068,M,dejan_k10,928124,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,956620800,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديان كولوسيفسكي', 'hi': 'देजान कुलुसेवस्की', 'bn': 'দেজান কুলুসেভস্কি'}, 'shortNameTranslation': {'ar': 'د. كولوسيفسكي', 'hi': 'डी. कुलुसेवस्की', 'bn': 'ডি. কুলুসেভস্কি'}}",40.0,36.0,1.0,1.0,7.0,8.0,30.0,33.0,5.0,,3.0,2.0,,,,90.0,59.0,7.8,15.0,0.625748,"{'original': 7.8, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,1.0,1.0,8.0,3.0,1.0,2.0,,2.0,,,1.0,,2.0,0.162,0.2993,5.0,,,,4.0,4.0,,,,,,,,,,,,
Heung-min Son,heung-min-son,H. M. Son,F,7,184,126618,M,HMSon,111505,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,710553600,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيونغ مين سون', 'hi': 'ह्युंग-मिन सोन', 'bn': 'হেউং-মিন সন'}, 'shortNameTranslation': {'ar': 'ه. م. سون', 'hi': 'एच.एम. सोन', 'bn': 'এইচ. এম. সন'}}",31.0,25.0,,,8.0,11.0,17.0,21.0,7.0,,7.0,2.0,,,,89.0,54.0,9.5,12.0,0.344968,"{'original': 9.5, 'alternative': 9.2}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,1.0,,,6.0,5.0,3.0,2.0,2.0,2.0,,2.0,2.0,1.0,1.0,1.0692,1.2237,4.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,
